Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,2177.584,8,0.8,-3701.8928
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,1889.99,5,0.8,-2929.4845
First Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1525.188,6,0.8,-2287.782
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,463.248,8,0.8,-1181.2824
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3,0.8,-1143.891
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,760.98,5,0.8,-1141.47
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,294.62,5,0.8,-766.012
First Class,Corporate,United States,Rockford,Illinois,61107,Central,Office Supplies,Binders,442.372,7,0.8,-729.9138
Standard Class,Consumer,United States,Oswego,Illinois,60543,Central,Office Supplies,Binders,304.99,5,0.8,-533.7325
Standard Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Binders,310.392,4,0.8,-512.1468
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,180.98,5,0.8,-470.548
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,176.772,3,0.8,-459.6072
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849
Second Class,Consumer,United States,Waco,Texas,76706,Central,Office Supplies,Binders,243.992,4,0.8,-426.986
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,143.128,2,0.8,-393.602
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,182.994,3,0.8,-320.2395
Standard Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Binders,182.994,3,0.8,-320.2395
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,93.032,2,0.8,-251.1864
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,87.168,8,0.8,-226.6368
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,92.064,6,0.8,-225.5568
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,73.176,6,0.8,-197.5752
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Appliances,70.97,5,0.8,-191.619
Standard Class,Home Office,United States,Mcallen,Texas,78501,Central,Office Supplies,Appliances,73.164,6,0.8,-186.5682
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,67.84,5,0.8,-179.776
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,104.58,9,0.8,-172.557
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,62.79,3,0.8,-166.3935
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,75.6,2,0.8,-166.32
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,94.192,7,0.8,-164.836
Second Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,64.384,4,0.8,-160.96
Standard Class,Consumer,United States,Irving,Texas,75061,Central,Office Supplies,Appliances,58.924,1,0.8,-153.2024
First Class,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,58.464,9,0.8,-146.16
First Class,Consumer,United States,Freeport,Illinois,61032,Central,Office Supplies,Binders,96.784,4,0.8,-145.176
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Appliances,48.784,4,0.8,-131.7168
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,48.632,2,0.8,-121.58
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,53.088,7,0.8,-108.8304
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,38.864,4,0.8,-99.1032
First Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Appliances,33.62,5,0.8,-90.774
Standard Class,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Appliances,34.176,3,0.8,-87.1488
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.192,2,0.8,-80.48
Second Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,51.184,4,0.8,-79.3352
Second Class,Consumer,United States,College Station,Texas,77840,Central,Office Supplies,Appliances,29.312,8,0.8,-74.7456
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,26.406,3,0.8,-71.2962
Standard Class,Home Office,United States,Danville,Illinois,61832,Central,Office Supplies,Binders,43.372,7,0.8,-69.3952
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,42.616,7,0.8,-68.1856
First Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,42.616,7,0.8,-68.1856
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,24.588,3,0.8,-67.617
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,44.848,8,0.8,-67.272
First Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,41.568,6,0.8,-66.5088
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,40.98,5,0.8,-65.568
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,23.992,2,0.8,-62.3792
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,39.582,9,0.8,-59.373
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,21.984,6,0.8,-56.0592
First Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,21.392,2,0.8,-54.5496
First Class,Consumer,United States,Rockford,Illinois,61107,Central,Office Supplies,Binders,33.568,8,0.8,-53.7088
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,34.24,4,0.8,-53.072
